"No.","Time","Source","Destination","Protocol","Length","Info"
"7632","1367.816293896","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.168? Tell 192.168.43.100"
"7633","1367.817178751","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.214? Tell 192.168.43.100"
"7634","1367.818031956","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.158? Tell 192.168.43.100"
"7635","1367.818870576","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.119? Tell 192.168.43.100"
"7636","1367.819720945","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.60? Tell 192.168.43.100"
"7637","1367.820651540","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.79? Tell 192.168.43.100"
"7638","1367.821506122","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.31? Tell 192.168.43.100"
"7639","1367.822339963","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.152? Tell 192.168.43.100"
"7640","1367.823201679","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.42? Tell 192.168.43.100"
"7641","1368.012387972","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.249? Tell 192.168.43.100"
"7642","1368.013257010","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.201? Tell 192.168.43.100"
"7643","1368.014055563","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.187? Tell 192.168.43.100"
"7644","1368.014952007","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.156? Tell 192.168.43.100"
"7645","1368.015862343","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.208? Tell 192.168.43.100"
"7646","1368.016754771","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.151? Tell 192.168.43.100"
"7647","1368.017605424","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.125? Tell 192.168.43.100"
"7648","1368.018496068","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.170? Tell 192.168.43.100"
"7649","1368.019283112","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.237? Tell 192.168.43.100"
"7650","1368.020183788","Apple_68:48:f0","Broadcast","ARP","42","Who has 192.168.43.121? Tell 192.168.43.100"
